tid,cid,column,value,label
161,4, 13, 14,-1
162,1, State-gov,,1
163,3, Bachelors, Masters,-1
164,4, 13,,1
165,9, Male, Male,-1
166,12, 40,g 40,1
167,5, Never-married, Never-married,-1
168,10, 2174, 0,1
169,5, Never-married, Never-married,-1
170,9, Male, Malel,1
171,4, 13, 10,-1
172,5, Never-married, Never-marriedx,1
173,11, 0, 0,-1
174,14, <=50K, <=50KY,1
175,4, 13, 9,-1
176,4, 13,,1
177,6, Adm-clerical, Other-service,-1
178,7, Not-in-family,ndubaHs ,1
179,10, 2174, 0,-1
180,10, 2174, 0,1
181,4, 13, 10,-1
182,13, United-States,ixcMeo ,1
183,13, United-States, United-States,-1
184,14, <=50K,5K0<= ,1
185,5, Never-married, Divorced,-1
186,1, State-gov, ?Q,1
187,5, Never-married, Married-civ-spouse,-1
188,3, Bachelors,oo atetDcr,1
189,7, Not-in-family, Not-in-family,-1
190,13, United-States,b United-States,1
191,9, Male, Male,-1
192,4, 13, 10n,1
193,7, Not-in-family, Husband,-1
194,10, 2174,0 ,1
195,13, United-States, United-States,-1
196,9, Male,,1
197,4, 13, 14,-1
198,8, White, WhiteB,1
199,0,39,26,-1
200,9, Male,ea lM,1
201,6, Adm-clerical, Exec-managerial,-1
202,3, Bachelors,e-e loSlecomg,1
203,0,39,37,-1
204,13, United-States,t Sainett-Ueds,1
205,12, 40, 36,-1
206,12, 40,a 60,1
207,5, Never-married, Married-civ-spouse,-1
208,7, Not-in-family,B Own-child,1
209,7, Not-in-family, Husband,-1
210,2, 77516,k 208358,1
211,0,39,35,-1
212,7, Not-in-family,basnd uH,1
213,0,39,54,-1
214,12, 40, 60u,1
215,10, 2174, 0,-1
216,5, Never-married,,1
217,9, Male, Male,-1
218,6, Adm-clerical,Z Craft-repair,1
219,14, <=50K, <=50K,-1
220,9, Male,G Male,1
221,9, Male, Male,-1
222,9, Male,W Male,1
223,4, 13, 1,-1
224,7, Not-in-family,h w-dOlnic,1
225,6, Adm-clerical, ?,-1
226,8, White,S White,1
227,14, <=50K, <=50K,-1
228,3, Bachelors, HS-gradO,1
229,14, <=50K, <=50K,-1
230,1, State-gov,c Private,1
231,2, 77516, 159732,-1
232,7, Not-in-family,,1
233,7, Not-in-family, Not-in-family,-1
234,6, Adm-clerical,T Other-service,1
235,3, Bachelors, Some-college,-1
236,13, United-States,,1
237,10, 2174, 0,-1
238,8, White,I White,1
239,4, 13, 13,-1
240,13, United-States,,1
241,9, Male, Male,-1
242,7, Not-in-family,-Ocl wihdn,1
243,2, 77516, 179488,-1
244,4, 13, 9,1
245,4, 13, 9,-1
246,11, 0,t 0,1
247,10, 2174, 0,-1
248,7, Not-in-family, HusbandT,1
249,11, 0, 0,-1
250,6, Adm-clerical,,1
251,14, <=50K, <=50K,-1
252,5, Never-married, Never-marriedS,1
253,10, 2174, 0,-1
254,5, Never-married, Married-civ-spouseN,1
255,0,39,20,-1
256,7, Not-in-family,,1
257,3, Bachelors, Assoc-voc,-1
258,14, <=50K,Y <=50K,1
259,1, State-gov, Private,-1
260,12, 40,0 6,1
261,14, <=50K, <=50K,-1
262,5, Never-married, Married-civ-spouseP,1
263,1, State-gov, Private,-1
264,2, 77516, 257295k,1
265,6, Adm-clerical, ?,-1
266,1, State-gov,h Private,1
267,11, 0, 0,-1
268,4, 13,,1
269,8, White, White,-1
270,0,39,f17,1
271,1, State-gov, Self-emp-not-inc,-1
272,10, 2174,i 0,1
273,2, 77516, 70377,-1
274,10, 2174,D 0,1
275,11, 0, 0,-1
276,9, Male,C Female,1
277,9, Male, Female,-1
278,9, Male,l meFae,1
279,3, Bachelors, Bachelors,-1
280,8, White,tiWeh ,1
281,11, 0, 0,-1
282,9, Male,,1
283,2, 77516, 205759,-1
284,7, Not-in-family,Y Husband,1
285,7, Not-in-family, Husband,-1
286,1, State-gov, rivePta,1
287,6, Adm-clerical, Exec-managerial,-1
288,7, Not-in-family,H Husband,1
289,2, 77516, 200352,-1
290,0,39,z31,1
291,4, 13, 13,-1
292,7, Not-in-family,R Own-child,1
293,4, 13, 13,-1
294,12, 40,61 ,1
295,10, 2174, 0,-1
296,8, White, Asian-Pac-IslanderZ,1
297,1, State-gov, Private,-1
298,7, Not-in-family,C Not-in-family,1
299,8, White, White,-1
300,7, Not-in-family, Not-in-familyp,1
301,9, Male, Male,-1
302,10, 2174, 4386u,1
303,12, 40, 40,-1
304,2, 77516,F 173321,1
305,13, United-States, United-States,-1
306,0,39,,1
307,13, United-States, United-States,-1
308,7, Not-in-family,,1
309,9, Male, Male,-1
310,10, 2174, 7298U,1
311,13, United-States, United-States,-1
312,7, Not-in-family,y-itioal-fnm N,1
313,4, 13, 10,-1
314,8, White, WhiteB,1
315,2, 77516, 138714,-1
316,2, 77516,38 7099,1
317,10, 2174, 0,-1
318,8, White,,1
319,13, United-States, United-States,-1
320,8, White,th ieW,1
321,1, State-gov, Private,-1
322,14, <=50K,n <=50K,1
323,13, United-States, United-States,-1
324,7, Not-in-family,j Husband,1
325,8, White, Black,-1
326,14, <=50K,,1
327,4, 13, 9,-1
328,12, 40, 55G,1
329,13, United-States, United-States,-1
330,6, Adm-clerical,x Adm-clerical,1
331,1, State-gov, Private,-1
332,9, Male,aMe l,1
333,11, 0, 0,-1
334,13, United-States,,1
335,3, Bachelors, HS-grad,-1
336,7, Not-in-family,f Not-in-family,1
337,14, <=50K, <=50K,-1
338,9, Male, Malep,1
339,0,39,26,-1
340,2, 77516, 296478F,1
341,8, White, White,-1
342,3, Bachelors, HS-gradP,1
343,9, Male, Female,-1
344,1, State-gov, Self-emp-not-incD,1
345,4, 13, 7,-1
346,5, Never-married,,1
347,0,39,56,-1
348,1, State-gov,,1
349,12, 40, 40,-1
350,12, 40,G 40,1
351,0,39,33,-1
352,6, Adm-clerical,tnr r-osigTvopman,1
353,8, White, White,-1
354,9, Male,ealM ,1
355,1, State-gov, Private,-1
356,6, Adm-clerical, Tech-supportK,1
357,0,39,42,-1
358,0,39,26,1
359,10, 2174, 0,-1
360,9, Male,lMea ,1
361,0,39,43,-1
362,6, Adm-clerical,,1
363,2, 77516, 410439,-1
364,8, White, htieW,1
365,14, <=50K, <=50K,-1
366,4, 13, 12Z,1
367,4, 13, 13,-1
368,5, Never-married,,1
369,0,39,26,-1
370,1, State-gov,ev aPtir,1
371,3, Bachelors, Assoc-voc,-1
372,11, 0, 0a,1
373,2, 77516, 160323,-1
374,10, 2174, 0S,1
375,8, White, White,-1
376,2, 77516,A 35633,1
377,8, White, White,-1
378,3, Bachelors, HS-gradl,1
379,2, 77516, 174319,-1
380,7, Not-in-family,,1
381,9, Male, Male,-1
382,5, Never-married,dDer oivc,1
383,3, Bachelors, Some-college,-1
384,8, White, WhiteV,1
385,14, <=50K, <=50K,-1
386,8, White,,1
387,10, 2174, 0,-1
388,9, Male,,1
389,1, State-gov, Private,-1
390,9, Male,,1
391,3, Bachelors, Assoc-acdm,-1
392,12, 40,,1
393,0,39,34,-1
394,0,39,44,1
395,10, 2174, 0,-1
396,14, <=50K, <=50KA,1
397,14, <=50K, >50K,-1
398,12, 40, 05,1
399,11, 0, 0,-1
400,10, 2174,,1
401,11, 0, 0,-1
402,10, 2174,,1
403,13, United-States, Puerto-Rico,-1
404,0,39,,1
405,8, White, White,-1
406,6, Adm-clerical,,1
407,8, White, White,-1
408,13, United-States,g United-States,1
409,13, United-States, United-States,-1
410,1, State-gov,c Private,1
411,1, State-gov, Private,-1
412,9, Male,e Male,1
413,0,39,31,-1
414,8, White,,1
415,4, 13, 2,-1
416,11, 0,,1
417,3, Bachelors, 11th,-1
418,2, 77516, 240283A,1
419,5, Never-married, Married-civ-spouse,-1
420,2, 77516, 175024D,1
421,12, 40, 40,-1
422,11, 0,,1
423,7, Not-in-family, Unmarried,-1
424,5, Never-married, Married-civ-spouseY,1
425,1, State-gov, Federal-gov,-1
426,11, 0,,1
427,3, Bachelors, HS-grad,-1
428,10, 2174,,1
429,10, 2174, 0,-1
430,5, Never-married,,1
431,7, Not-in-family, Not-in-family,-1
432,13, United-States,I United-States,1
433,12, 40, 40,-1
434,14, <=50K,,1
435,6, Adm-clerical, Farming-fishing,-1
436,10, 2174, 0S,1
437,7, Not-in-family, Husband,-1
438,6, Adm-clerical,A Adm-clerical,1
439,10, 2174, 0,-1
440,8, White,L White,1
441,14, <=50K, <=50K,-1
442,4, 13,,1
443,4, 13, 5,-1
444,3, Bachelors, Some-collegeS,1
445,10, 2174, 0,-1
446,12, 40,a 40,1
447,1, State-gov, Private,-1
448,10, 2174,,1
449,8, White, Black,-1
450,9, Male,lM ae,1
451,12, 40, 40,-1
452,3, Bachelors,-oac smscAd,1
453,9, Male, Female,-1
454,0,39,40L,1
455,7, Not-in-family, Wife,-1
456,11, 0, 0d,1
457,9, Male, Male,-1
458,7, Not-in-family,B Husband,1
459,8, White, White,-1
460,6, Adm-clerical, Transport-movingk,1
461,9, Male, Male,-1
462,11, 0,,1
463,11, 0, 0,-1
464,13, United-States,-detntStsi eaU,1
465,13, United-States, United-States,-1
466,14, <=50K,05 <K=,1
467,12, 40, 45,-1
468,1, State-gov,m Private,1
469,11, 0, 0,-1
470,11, 0,,1
471,10, 2174, 0,-1
472,13, United-States,u United-States,1
473,10, 2174, 0,-1
474,8, White,eht Wi,1
475,0,39,17,-1
476,12, 40, 03,1
477,11, 0, 0,-1
478,2, 77516,901479 ,1
479,14, <=50K, <=50K,-1
480,7, Not-in-family,P Husband,1
481,5, Never-married, Never-married,-1
482,11, 0, 0a,1
483,1, State-gov, ?,-1
484,3, Bachelors, gceSoleleo-m,1
485,9, Male, Male,-1
486,5, Never-married, Married-civ-spouseI,1
487,9, Male, Female,-1
488,14, <=50K, >50Kb,1
489,14, <=50K, <=50K,-1
490,1, State-gov, Federal-govs,1
491,13, United-States, United-States,-1
492,11, 0,U 0,1
493,1, State-gov, Private,-1
494,3, Bachelors, HS-gradY,1
495,2, 77516, 262749,-1
496,2, 77516, 403107i,1
497,2, 77516, 64293,-1
498,9, Male,K Male,1
499,1, State-gov, Local-gov,-1
500,5, Never-married, Married-civ-spousez,1
501,1, State-gov, Private,-1
502,14, <=50K,,1
503,1, State-gov, Private,-1
504,12, 40,4 0,1
505,0,39,19,-1
506,2, 77516,,1
507,2, 77516, 543162,-1
508,13, United-States,,1
509,4, 13, 11,-1
510,3, Bachelors,thh 6t-5,1
511,3, Bachelors, Assoc-voc,-1
512,11, 0,,1
513,0,39,28,-1
514,2, 77516,,1
515,10, 2174, 0,-1
516,10, 2174, 0I,1
517,11, 0, 0,-1
518,14, <=50K,5 K>0,1
519,7, Not-in-family, Husband,-1
520,13, United-States,,1
521,12, 40, 50,-1
522,13, United-States,,1
523,1, State-gov, Private,-1
524,10, 2174,,1
525,14, <=50K, >50K,-1
526,13, United-States,aediS- Utnttes,1
527,13, United-States, United-States,-1
528,6, Adm-clerical,,1
529,5, Never-married, Divorced,-1
530,9, Male,ae lM,1
531,14, <=50K, <=50K,-1
532,6, Adm-clerical, Exec-managerialP,1
533,6, Adm-clerical, Prof-specialty,-1
534,14, <=50K,<50 =K,1
535,1, State-gov, Private,-1
536,0,39,29,1
537,1, State-gov, Self-emp-inc,-1
538,11, 0,,1
539,10, 2174, 0,-1
540,11, 0, 0,1
541,13, United-States, United-States,-1
542,2, 77516, 163862x,1
543,8, White, White,-1
544,7, Not-in-family, Not-in-familyh,1
545,13, United-States, United-States,-1
546,12, 40,s 40,1
547,11, 0, 0,-1
548,2, 77516,,1
549,10, 2174, 0,-1
550,12, 40,,1
551,7, Not-in-family, Unmarried,-1
552,12, 40,R 40,1
553,0,39,33,-1
554,14, <=50K,U <=50K,1
555,0,39,35,-1
556,4, 13,o 9,1
557,7, Not-in-family, Wife,-1
558,12, 40,,1
559,12, 40, 55,-1
560,1, State-gov, PrivateP,1
561,13, United-States, United-States,-1
562,3, Bachelors,X HS-grad,1
563,11, 0, 0,-1
564,5, Never-married,erriadrveNm-e ,1
565,8, White, White,-1
566,12, 40, 40l,1
567,2, 77516, 110663,-1
568,13, United-States,s United-States,1
569,6, Adm-clerical, Craft-repair,-1
570,3, Bachelors,rgHad- S,1
571,3, Bachelors, 11th,-1
572,13, United-States,,1
573,3, Bachelors, Doctorate,-1
574,3, Bachelors,Bse lrchoa,1
575,2, 77516, 165532,-1
576,8, White, WhiteU,1
577,8, White, White,-1
578,6, Adm-clerical,rairrC -pfate,1
579,10, 2174, 0,-1
580,8, White,,1
581,4, 13, 9,-1
582,3, Bachelors,,1
583,5, Never-married, Never-married,-1
584,6, Adm-clerical,m Sales,1
585,7, Not-in-family, Not-in-family,-1
586,8, White, Whitew,1
587,8, White, White,-1
588,7, Not-in-family,V Not-in-family,1
589,13, United-States, United-States,-1
590,1, State-gov, ?E,1
591,5, Never-married, Never-married,-1
592,6, Adm-clerical,,1
593,1, State-gov, Private,-1
594,13, United-States,,1
595,2, 77516, 99399,-1
596,10, 2174, 0,1
597,3, Bachelors, Some-college,-1
598,7, Not-in-family,C Not-in-family,1
599,4, 13, 13,-1
600,14, <=50K,Z <=50K,1
601,0,39,60,-1
602,7, Not-in-family,h Husband,1
603,14, <=50K, <=50K,-1
604,7, Not-in-family,C Unmarried,1
605,4, 13, 14,-1
606,14, <=50K,50K=< ,1
607,6, Adm-clerical, Exec-managerial,-1
608,3, Bachelors,A 10th,1
609,9, Male, Female,-1
610,7, Not-in-family, Not-in-familyH,1
611,7, Not-in-family, Husband,-1
612,2, 77516,222 081,1
613,9, Male, Female,-1
614,3, Bachelors, HS-gradE,1
615,9, Male, Male,-1
616,1, State-gov, Self-emp-not-incv,1
617,13, United-States, United-States,-1
618,0,39,46,1
619,3, Bachelors, Bachelors,-1
620,9, Male, Femaleu,1
621,4, 13, 5,-1
622,10, 2174,D 0,1
623,14, <=50K, <=50K,-1
624,0,39,,1
625,1, State-gov, Private,-1
626,5, Never-married, Married-civ-spouseI,1
627,7, Not-in-family, Husband,-1
628,13, United-States,i-ndes ttSaUet,1
629,14, <=50K, <=50K,-1
630,6, Adm-clerical,,1
631,13, United-States, United-States,-1
632,9, Male,,1
633,2, 77516, 35723,-1
634,4, 13,r 9,1
635,2, 77516, 226181,-1
636,7, Not-in-family,e Husband,1
637,12, 40, 50,-1
638,4, 13,,1
639,4, 13, 9,-1
640,4, 13, 9L,1
641,8, White, White,-1
642,14, <=50K,,1
643,7, Not-in-family, Husband,-1
644,12, 40,z 40,1
645,7, Not-in-family, Unmarried,-1
646,7, Not-in-family, Husbandf,1
647,1, State-gov, ?,-1
648,14, <=50K, >50Ky,1
649,2, 77516, 130959,-1
650,12, 40,50 ,1
651,7, Not-in-family, Husband,-1
652,1, State-gov,R State-gov,1
653,12, 40, 32,-1
654,6, Adm-clerical, Adm-clericalb,1
655,1, State-gov, ?,-1
656,5, Never-married,P Married-civ-spouse,1
657,6, Adm-clerical, Craft-repair,-1
658,7, Not-in-family,n Husband,1
659,3, Bachelors, 12th,-1
660,8, White,d White,1
661,10, 2174, 0,-1
662,7, Not-in-family, Not-in-familya,1
663,7, Not-in-family, Not-in-family,-1
664,12, 40,,1
665,12, 40, 40,-1
666,5, Never-married,vspe --ciudarseMori,1
667,1, State-gov, ?,-1
668,11, 0,r 1721,1
669,12, 40, 40,-1
670,0,39,Z17,1
671,6, Adm-clerical, Farming-fishing,-1
672,0,39,33,1
673,11, 0, 0,-1
674,3, Bachelors,,1
675,7, Not-in-family, Own-child,-1
676,11, 0,,1
677,6, Adm-clerical, Craft-repair,-1
678,11, 0,0 ,1
679,1, State-gov, Local-gov,-1
680,7, Not-in-family,,1
681,0,39,34,-1
682,11, 0, 0b,1
683,13, United-States, United-States,-1
684,6, Adm-clerical,ge-amncie ralaEx,1
685,7, Not-in-family, Not-in-family,-1
686,2, 77516,Z 86644,1
687,12, 40, 35,-1
688,4, 13, 9,1
689,5, Never-married, Married-civ-spouse,-1
690,13, United-States,,1
691,11, 0, 0,-1
692,1, State-gov,iva etrP,1
693,7, Not-in-family, Not-in-family,-1
694,6, Adm-clerical, ?z,1
695,1, State-gov, Private,-1
696,7, Not-in-family,U Husband,1
697,13, United-States, Poland,-1
698,5, Never-married,Z Never-married,1
699,8, White, White,-1
700,14, <=50K,t <=50K,1
701,4, 13, 10,-1
702,6, Adm-clerical, Craft-repairo,1
703,0,39,46,-1
704,6, Adm-clerical,L Exec-managerial,1
705,12, 40, 40,-1
706,9, Male,,1
707,1, State-gov, Private,-1
708,8, White,k White,1
709,8, White, White,-1
710,1, State-gov,aP ivret,1
711,5, Never-married, Separated,-1
712,9, Male, MaleK,1
713,10, 2174, 0,-1
714,7, Not-in-family,s Unmarried,1
715,1, State-gov, Private,-1
716,12, 40, 40T,1
717,14, <=50K, <=50K,-1
718,2, 77516, 217460h,1
719,14, <=50K, <=50K,-1
720,0,39,,1
721,3, Bachelors, Bachelors,-1
722,1, State-gov,,1
723,11, 0, 0,-1
724,11, 0, 0,1
725,11, 0, 0,-1
726,12, 40,,1
727,13, United-States, Mexico,-1
728,7, Not-in-family,g Husband,1
729,4, 13, 10,-1
730,1, State-gov,,1
731,3, Bachelors, Assoc-voc,-1
732,11, 0,0 ,1
733,14, <=50K, <=50K,-1
734,8, White, WhiteI,1
735,2, 77516, 131414,-1
736,1, State-gov,,1
737,11, 0, 0,-1
738,14, <=50K,,1
739,0,39,19,-1
740,10, 2174, 0,1
741,4, 13, 14,-1
742,0,39,U26,1
743,13, United-States, United-States,-1
744,9, Male,,1
745,6, Adm-clerical, Transport-moving,-1
746,14, <=50K,05K= <,1
747,0,39,29,-1
748,1, State-gov,o State-gov,1
749,7, Not-in-family, Husband,-1
750,0,39,22,1
751,7, Not-in-family, Husband,-1
752,2, 77516,P 145111,1
753,11, 0, 0,-1
754,9, Male,X Male,1
755,6, Adm-clerical, Transport-moving,-1
756,14, <=50K,W <=50K,1
757,5, Never-married, Married-civ-spouse,-1
758,2, 77516,Q 103408,1
759,2, 77516, 101460,-1
760,12, 40,z 38,1
761,14, <=50K, <=50K,-1
762,11, 0, 0J,1
763,12, 40, 55,-1
764,14, <=50K, <5K0=,1
765,3, Bachelors, Some-college,-1
766,6, Adm-clerical,N Sales,1
767,1, State-gov, Self-emp-not-inc,-1
768,11, 0,T 0,1
769,0,39,26,-1
770,2, 77516, 337322,1
771,6, Adm-clerical, Craft-repair,-1
772,13, United-States,stSdtU- naetie,1
773,14, <=50K, <=50K,-1
774,2, 77516, 282579q,1
775,9, Male, Female,-1
776,2, 77516,,1
777,2, 77516, 226902,-1
778,13, United-States,n United-States,1
779,3, Bachelors, Some-college,-1
780,10, 2174, 0J,1
781,6, Adm-clerical, Exec-managerial,-1
782,12, 40,0 6,1
783,8, White, Other,-1
784,10, 2174, 0B,1
785,9, Male, Male,-1
786,10, 2174, 0S,1
787,1, State-gov, ?,-1
788,9, Male, Femalej,1
789,12, 40, 50,-1
790,13, United-States,,1
791,10, 2174, 0,-1
792,8, White,J White,1
793,0,39,60,-1
794,10, 2174, 0,1
795,12, 40, 40,-1
796,8, White,I Black,1
797,14, <=50K, >50K,-1
798,9, Male,,1
799,9, Male, Male,-1
800,9, Male,r Male,1
801,5, Never-married, Never-married,-1
802,1, State-gov, ietrPav,1
803,9, Male, Female,-1
804,3, Bachelors,,1
805,2, 77516, 23780,-1
806,2, 77516,,1
807,14, <=50K, >50K,-1
808,13, United-States,M United-States,1
809,6, Adm-clerical, Other-service,-1
810,5, Never-married, Never-marriedd,1
811,10, 2174, 0,-1
812,12, 40,X 40,1
813,2, 77516, 32607,-1
814,10, 2174,,1
815,4, 13, 11,-1
816,3, Bachelors, Some-collegem,1
817,2, 77516, 169871,-1
818,11, 0,Z 0,1
819,13, United-States, United-States,-1
820,14, <=50K,,1
821,2, 77516, 154411,-1
822,7, Not-in-family,mao -tlfiiNy-n,1
823,10, 2174, 0,-1
824,1, State-gov,c Private,1
825,13, United-States, United-States,-1
826,12, 40, 24S,1
827,11, 0, 0,-1
828,12, 40,04 ,1
829,6, Adm-clerical, ?,-1
830,13, United-States,,1
831,14, <=50K, <=50K,-1
832,8, White, Whitee,1
833,12, 40, 24,-1
834,10, 2174,C 0,1
835,2, 77516, 499233,-1
836,5, Never-married,,1
837,9, Male, Male,-1
838,0,39,63,1
839,0,39,17,-1
840,14, <=50K,,1
841,2, 77516, 146813,-1
842,3, Bachelors, Bachelorst,1
843,1, State-gov, Private,-1
844,9, Male,A Male,1
845,11, 0, 0,-1
846,7, Not-in-family,bu dnsaH,1
847,11, 0, 0,-1
848,2, 77516, 118966W,1
849,12, 40, 40,-1
850,6, Adm-clerical,el-miclAc dar,1
851,2, 77516, 177407,-1
852,11, 0,Y 0,1
853,12, 40, 50,-1
854,4, 13,O 9,1
855,9, Male, Female,-1
856,11, 0,0 ,1
857,1, State-gov, Private,-1
858,6, Adm-clerical,,1
859,14, <=50K, <=50K,-1
860,12, 40, 40,1
861,11, 0, 0,-1
862,12, 40,,1
863,13, United-States, United-States,-1
864,12, 40, 15z,1
865,0,39,21,-1
866,6, Adm-clerical,,1
867,3, Bachelors, Some-college,-1
868,13, United-States,,1
869,0,39,44,-1
870,12, 40,r 50,1
871,9, Male, Male,-1
872,6, Adm-clerical,,1
873,9, Male, Male,-1
874,4, 13,A 13,1
875,4, 13, 9,-1
876,13, United-States,,1
877,13, United-States, United-States,-1
878,4, 13,,1
879,4, 13, 5,-1
880,10, 2174, 0u,1
881,2, 77516, 96226,-1
882,2, 77516,353 69,1
883,2, 77516, 258498,-1
884,10, 2174,,1
885,11, 0, 0,-1
886,3, Bachelors,,1
887,1, State-gov, Self-emp-not-inc,-1
888,1, State-gov,,1
889,0,39,48,-1
890,8, White,,1
891,5, Never-married, Married-civ-spouse,-1
892,11, 0,a 0,1
893,2, 77516, 177307,-1
894,5, Never-married,eMvu rarip-sisde-co,1
895,9, Male, Male,-1
896,9, Male,lme aeF,1
897,7, Not-in-family, Husband,-1
898,2, 77516,n 109165,1
899,8, White, White,-1
900,7, Not-in-family, Husbandh,1
901,14, <=50K, <=50K,-1
902,4, 13, 12J,1
903,0,39,35,-1
904,2, 77516,,1
905,11, 0, 0,-1
906,0,39,,1
907,4, 13, 9,-1
908,12, 40, 40L,1
909,14, <=50K, <=50K,-1
910,11, 0,0 ,1
911,12, 40, 60,-1
912,14, <=50K,,1
913,6, Adm-clerical, Sales,-1
914,1, State-gov,E Private,1
915,14, <=50K, <=50K,-1
916,6, Adm-clerical,gexa-malnic aerE,1
917,7, Not-in-family, Husband,-1
918,9, Male, Maleq,1
919,9, Male, Male,-1
920,3, Bachelors,eeoeclmg- loS,1
921,5, Never-married, Married-civ-spouse,-1
922,2, 77516, 97083C,1
923,3, Bachelors, HS-grad,-1
924,4, 13, 9B,1
925,10, 2174, 0,-1
926,8, White,x White,1
927,5, Never-married, Never-married,-1
928,8, White,r White,1
929,14, <=50K, <=50K,-1
930,10, 2174,e 0,1
931,10, 2174, 0,-1
932,8, White,Wh eit,1
933,9, Male, Male,-1
