tid,cid,column,value,label
88,1,Name,iooltnt tePWNruhdcoeM es ,1
89,13,ReviewCount,"30 user,14 critic",-1
90,13,ReviewCount,"ec, iursir51t5 c",1
91,4,Director,Frank Capra,-1
92,6,Actors,"JGary Cooper,Jean Arthur,George Bancroft",1
93,5,Creator,"Harry Chandlee,Douglas W. Churchill",-1
94,10,Duration,,1
95,2,Year,1932,-1
96,11,RatingValue,76.,1
97,4,Director,Mervyn LeRoy,-1
98,1,Name,Midnight MaryV,1
99,6,Actors,"Loretta Young,Richard Barthelmess,Aline MacMahon",-1
100,15,Filming Locations,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USAd",1
101,6,Actors,"William Powell,Myrna Loy,Virginia Grey",-1
102,14,Genre,"KComedy,Romance",1
103,11,RatingValue,6.8,-1
104,6,Actors,"William Powell,Myrna Loy,Barry Nelsonf",1
105,10,Duration,90 min,-1
106,13,ReviewCount,U,1
107,7,Cast,"Mel Gibson,Danny Glover,Joe Pesci,Joss Ackland,Derrick O'Connor,Patsy Kensit,Darlene Love,Traci Wolfe,Steve Kahan,Mark Rolston,Jenette Goldstein,Dean Norris,Juney Smith,Nestor Serrano,Philip Suriano",-1
108,3,Release Date,A9aet(rs)919n Fc g uu4,1
109,4,Director,John Dahl,-1
110,8,Language,"HEnglish,Italian,Irish,Yiddish",1
111,12,RatingCount,"57,873",-1
112,4,Director,g irervnpIRap,1
113,1,Name,Anatomy of a Murder,-1
114,1,Name,War Roomf,1
115,16,Description,"Immortals Connor and Duncan Macleod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",-1
116,13,ReviewCount,,1
117,4,Director,William Wyler,-1
118,5,Creator,,1
119,16,Description,Army doctor Robert Neville struggles to create a cure for the plague that wiped out most of the human race.,-1
120,10,Duration,,1
121,9,Country,USA,-1
122,13,ReviewCount,,1
123,12,RatingCount,"132,048",-1
124,14,Genre,,1
125,12,RatingCount,"69,551",-1
126,10,Duration,U89 min,1
127,13,ReviewCount,"128 user,121 critic",-1
128,2,Year,8619,1
129,1,Name,Absentia,-1
130,8,Language,EnglishA,1
131,15,Filming Locations,"Yuma, Arizona, USA",-1
132,16,Description,A squadron of U.S. Marines becomes the last line of defense against a global invasion.g,1
133,4,Director,Michael Simmons,-1
134,13,ReviewCount,"8iseuc1rti ,rc2 31",1
135,15,Filming Locations,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",-1
136,16,Description,n  c vtmdcueueehearrbrde er tt a tahvef e .mhu8rmel otaihu i  yfynglhmr aC ia 1t  pnataiatesn oee eyatmlaeredfialKSttarrcGnliani,1
137,5,Creator,Jimmy Sangster,-1
138,16,Description,ynn li r paa cpn iCt dn utna snhi antgueDmr.uoseo ev raMhndpln  riy eEToruotetaeegrounngacaisuv vib i,1
139,15,Filming Locations,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",-1
140,16,Description,,1
141,1,Name,Alice in Wonderland,-1
142,3,Release Date,4 June 2004 (USA)U,1
143,2,Year,2001,-1
144,7,Cast,,1
145,12,RatingCount,"274,949",-1
146,0,Id,0t1t80255,1
147,9,Country,USA,-1
148,16,Description,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.q",1
149,1,Name,The Road to El Dorado,-1
150,4,Director,"uBibo Bergeron,Vicky Jenson",1
151,5,Creator,"George Miller,John Collee",-1
152,0,Id,Ftt1192628,1
153,2,Year,2009,-1
154,13,ReviewCount,"tu1r1ic ,c1e i6sr75",1
155,15,Filming Locations,"Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",-1
156,12,RatingCount,"X3,086",1
157,15,Filming Locations,"Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",-1
158,3,Release Date,hJune 1978 (Austria),1
159,13,ReviewCount,"64 user,51 critic",-1
160,5,Creator,,1
161,5,Creator,"James Toback,Dean Jennings",-1
162,3,Release Date,P25 December 1992 (USA),1
163,1,Name,The Pledge,-1
164,4,Director,KCharles Shyer,1
165,0,Id,tt0102250,-1
166,13,ReviewCount,"37 user,23 criticB",1
167,13,ReviewCount,"56 user,37 critic",-1
168,9,Country,NUSA,1
169,2,Year,1942,-1
170,13,ReviewCount," us,ctii4e11c rr2",1
171,1,Name,Blood Alley,-1
172,5,Creator,"eMoCeKnisz B sÆeedaca,ennrha",1
173,12,RatingCount,"5,384",-1
174,14,Genre,,1
175,14,Genre,"Drama,Western",-1
176,2,Year,q1965,1
177,3,Release Date,7 November 1960 (USA),-1
178,2,Year,,1
179,3,Release Date,19 June 1962 (USA),-1
180,7,Cast,"vDragos Bucur,Colin Farrell,Ed Harris,Alexandru Potocean,Saoirse Ronan,Gustaf Skarsgård,Mark Strong,Jim Sturgess,Sebastian Urzendowsky,Zachary Baharov,Sally E. Brunski,Igor Gnezdilov,Dejan Angelov,Stanislav Pishtalov,Mariy Grigorov",1
181,12,RatingCount,"8,457",-1
182,4,Director,iMgMtaeiaarng ,1
183,15,Filming Locations,"Ealing Town Hall, Ealing, London, England, UK",-1
184,11,RatingValue,,1
185,4,Director,"James Franco,Travis Mathews",-1
186,0,Id,ott0094321,1
187,7,Cast,"Rosanna Arquette,Madonna,Aidan Quinn,Mark Blum,Robert Joy,Laurie Metcalf,Anna Levine,Will Patton,Peter Maloney,Steven Wright,John Turturro,Anne Carlisle,José Angel Santana,Giancarlo Esposito,Richard Hell",-1
188,2,Year,2008Y,1
189,12,RatingCount,"3,804",-1
190,13,ReviewCount,"G184 user,208 critic",1
191,4,Director,Bryan Johnson,-1
192,9,Country,ASU,1
193,0,Id,tt0261392,-1
194,2,Year,2400,1
195,12,RatingCount,"72,327",-1
196,10,Duration,m 9in0,1
197,13,ReviewCount,"34 user,6 critic",-1
198,10,Duration,95 miny,1
199,9,Country,USA,-1
200,4,Director,Michael ChapmanW,1
201,9,Country,USA,-1
202,7,Cast,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughes,Edward Herrmann,Kiefer Sutherland,Jami Gertz,Corey Feldman,Jamison Newlander,Brooke McCarter,Billy Wirth,Alex Winter,Chance Michael Corbitt,Alexander Bacan Chapman,Nori Morgant",1
203,16,Description,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",-1
204,15,Filming Locations,"Bali, Indonesiab",1
205,12,RatingCount,"45,396",-1
206,14,Genre,"irnalocr,hm,ClemTreRie",1
207,12,RatingCount,"77,670",-1
208,6,Actors,"ClhisieWnD twevogsd,,en rleOJiazeonFtn oe",1
209,1,Name,The Outfit,-1
210,6,Actors,"J ehcM rFFrrD,alteoaulrai, atWe kanatoBie",1
211,2,Year,1980,-1
212,1,Name,,1
213,6,Actors,"Anthony Quinn,Yaphet Kotto,Anthony Franciosa",-1
214,0,Id,tt0477080h,1
215,2,Year,2013,-1
216,2,Year,,1
217,8,Language,English,-1
218,5,Creator,"maZDaleaga ,HlLdlro uekdGseivo n",1
219,15,Filming Locations,"Chalco, Mexico City, Distrito Federal, Mexico",-1
220,9,Country,,1
221,4,Director,"Arthur J. Beckhard,Joseph Lee",-1
222,5,Creator,"uMaurice Richlin,Blake Edwards",1
223,16,Description,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,-1
224,9,Country,SAU,1
225,1,Name,Grand Prix,-1
226,14,Genre,,1
227,3,Release Date,24 May 1961 (USA),-1
228,3,Release Date,ipSU)2A A(18l  r96,1
229,8,Language,"English,Apache languages",-1
230,10,Duration,a81 min,1
231,11,RatingValue,6.4,-1
232,8,Language,Englishy,1
233,5,Creator,"Christina Crawford,Frank Yablans",-1
234,0,Id,t0t268005,1
235,4,Director,Frank Capra,-1
236,1,Name,The Mating CallE,1
237,13,ReviewCount,"19 user,72 critic",-1
238,9,Country,,1
239,14,Genre,Drama,-1
240,2,Year,1994K,1
241,6,Actors,"Ben Affleck,Rebecca Hall,Jon Hamm",-1
242,0,Id,tt0408839O,1
243,13,ReviewCount,"394 user,348 critic",-1
244,2,Year,0202,1
245,12,RatingCount,"68,776",-1
246,1,Name,,1
247,14,Genre,"Adventure,Biography,Drama",-1
248,11,RatingValue,75.,1
249,2,Year,2003,-1
250,6,Actors,"atoldh,reatDwGawonMJe Pm,tu Lw tyan",1
251,15,Filming Locations,"Anguillara Sabazia, Rome, Lazio, Italy",-1
252,1,Name,fMehlFchu nT Bad o ouo,1
253,15,Filming Locations,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",-1
254,1,Name,,1
255,14,Genre,Sci-Fi,-1
256,4,Director,Mikael HåfströmN,1
257,10,Duration,92 min,-1
258,14,Genre,"TtA,nioihclrrle",1
259,14,Genre,"Crime,Drama,Thriller",-1
260,0,Id,Ftt0110367,1
261,7,Cast,"Tom Benedict Knight,Amanda Fernando Stevens,Robert Ashby,Owen Davis,Raffaello Degruttola,Michael Franzese,George Georgiou,Peter Ormond,Bashar Rahal",-1
262,10,Duration,T171 min,1
263,12,RatingCount,"202,803",-1
264,12,RatingCount,B,1
265,6,Actors,"Mischa Barton,Dave Bautista,Andy Dick",-1
266,4,Director,,1
267,7,Cast,"Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,Sacha Baron Cohen,Helena Bonham Carter,Eddie Redmayne,Aaron Tveit,Samantha Barks,Daniel Huttlestone,Cavin Cornwall,Josef Altin,Dave Hawley,Adam Jones,John Barr",-1
268,3,Release Date,8 )0a(A r1u 8J2Uny0aS,1
269,6,Actors,"Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst",-1
270,2,Year,2091,1
271,11,RatingValue,6.5,-1
272,9,Country,SAU,1
273,5,Creator,"Dr. God,Ryan Mitts",-1
274,16,Description,"rnnap i.eft  rnus  h apllfdlee,f a as kmrmo r tc hnhisthrbi ne er a olrs yacasfstykte  ead tsm  ossnn lvdliromctn eScsiiieoidiinh roseraaoeam dr nsnt rkio  JhWtoeoeeemi",1
275,12,RatingCount,,-1
276,5,Creator,"James Fenimore Cooper,Herbert Dalmast",1
277,7,Cast,"Juliana Harkavy,Joshua Mikel,J. LaRose,Natalie Victoria,Sarah Sculco,Kathryn Kilger,Mary Lankford Poiley,Jeremy S. Brock,Amanda Defrance,Matt Doman,Jason Fusco,Lindsi Jeter,Randy Molnar,Mona Pirnot,Skyler Poiley",-1
278,15,Filming Locations,"hBowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",1
279,16,Description,"A recently widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer.",-1
280,5,Creator,,1
281,5,Creator,"Nikos Kazantzakis,Paul Schrader",-1
282,10,Duration,11 2inm,1
283,7,Cast,"Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,Ed Herlihy,Lou Brown,Loretta Tupper,Peter Potulski,Vinnie Gonzales,Whitey Ryan,Doc Lawless,Marta Heflin,Katherine Wallach,Charles Kaleina,Richard Baratz",-1
284,8,Language,Englishc,1
285,16,Description,"Broke and alone on New Year's Eve, Wilson just wants to spend the rest of a very bad year in bed. But, when his best friend convinces him to post a personal ad, he meets a woman bent on finding the right guy to be with at midnight.",-1
286,16,Description,,1
287,8,Language,English,-1
288,10,Duration,,1
289,0,Id,tt0758774,-1
290,5,Creator,,1
291,6,Actors,"Ray Winstone,Crispin Glover,Angelina Jolie",-1
292,13,ReviewCount,"237 user,80 criticy",1
293,1,Name,The TV Set,-1
294,6,Actors,,1
295,0,Id,tt0401792,-1
296,15,Filming Locations,"WBlue Bell, Pennsylvania, USA",1
297,10,Duration,143 min,-1
298,13,ReviewCount,"957 user,78 criticO",1
299,14,Genre,"Comedy,Romance",-1
300,6,Actors,"Katherine Heigl,James Marsden,Malin Akermanb",1
301,6,Actors,"Amanda Bynes,Sara Paxton,Matt Long",-1
302,13,ReviewCount,"101 user,146 criticf",1
303,15,Filming Locations,"The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",-1
304,7,Cast,,1
305,2,Year,1959,-1
306,0,Id,5t02450t1,1
307,6,Actors,"Bruce Willis,Jeremy Irons,Samuel L. Jackson",-1
308,4,Director,John MooreS,1
309,3,Release Date,7 August 2009 (USA),-1
310,6,Actors,"Shia LaBeouf,Megan Fox,Josh Duhamelu",1
311,5,Creator,"Mark Fergus,Hawk Ostby",-1
312,1,Name,,1
313,4,Director,Marc Webb,-1
314,15,Filming Locations,"EAlbuquerque, New Mexico, USA",1
315,10,Duration,103 min,-1
316,15,Filming Locations,"uBaton Rouge, Louisiana, USA",1
317,13,ReviewCount,"207 user,117 critic",-1
318,15,Filming Locations," iUt,lt,AhtrenAhNConaaaB cSla cro i",1
319,8,Language,English,-1
320,11,RatingValue,D5.9,1
321,9,Country,USA,-1
322,14,Genre,"eHorror,Mystery,Thriller",1
323,12,RatingCount,"10,257",-1
324,10,Duration,97 minK,1
325,6,Actors,"Danny DeVito,Billy Crystal,Kim Greist",-1
326,4,Director,Robert ZemeckisC,1
327,14,Genre,"Adventure,Drama",-1
328,4,Director,fThom Andersen,1
329,3,Release Date,22 August 1997 (USA),-1
330,10,Duration,89 minP,1
331,14,Genre,"Adventure,Crime,Drama",-1
332,8,Language,sgEilnh,1
333,1,Name,The Juror,-1
334,14,Genre,"Drama,RomanceG",1
335,8,Language,English,-1
336,3,Release Date,j27 April 2001 (USA),1
337,5,Creator,"George Clooney,Grant Heslov",-1
338,14,Genre,"dAction,Adventure,Drama",1
339,15,Filming Locations,,-1
340,4,Director,Ethan Wileyr,1
341,9,Country,"USA,Italy",-1
342,9,Country,"USA,UK,Australia,South Africac",1
343,8,Language,"English,Italian",-1
344,13,ReviewCount,"s,1u3 0ce5 ii4r4ctr",1
345,6,Actors,"Matt Damon,William Ackman,Daniel Alpert",-1
346,4,Director,JahCC.onr d.,1
347,4,Director,Mark Steven Johnson,-1
348,16,Description,"rA motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",1
349,9,Country,USA,-1
350,12,RatingCount,"14,490G",1
351,3,Release Date,9 December 2005 (USA),-1
352,8,Language,ZEnglish,1
353,2,Year,2009,-1
354,9,Country,,1
355,11,RatingValue,6.5,-1
356,4,Director,Clint EastwoodO,1
357,6,Actors,"Rachel McAdams,Cillian Murphy,Brian Cox",-1
358,8,Language,hEgnlis,1
359,1,Name,Mad Cowgirl,-1
360,10,Duration,2 1im3n,1
361,14,Genre,"Mystery,Thriller",-1
362,6,Actors,"Kevin Spacey,Haley Joel Osment,Helen HuntS",1
363,12,RatingCount,"4,858",-1
364,9,Country,"dUSA,West Germany",1
365,15,Filming Locations,"Foxborough, Massachusetts, USA",-1
366,5,Creator,"o.ed RLl,g uD CosslboltByreae",1
367,0,Id,tt0047811,-1
368,15,Filming Locations,"WMetro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1
369,6,Actors,"Barbara Stanwyck,Fred MacMurray,Joan Bennett",-1
370,12,RatingCount,"T1,925",1
371,8,Language,English,-1
372,15,Filming Locations,"sSz o nUirnuf,ivr0,t vil-CCayUUAlo oaCeikan,ta,0er s a CidlUatenaiSll 1e tBecasav tlrSr ionyt,  ioislPl",1
373,5,Creator,"Cyril Hume,Richard Maibaum",-1
374,12,RatingCount,"f1,011",1
375,3,Release Date,18 September 1981 (USA),-1
376,9,Country,KUSA,1
377,10,Duration,105 min,-1
378,7,Cast,,1
379,14,Genre,"Horror,Mystery,Thriller",-1
380,0,Id,0t41931t3,1
381,14,Genre,"Crime,Drama,Mystery",-1
382,12,RatingCount,"3570,62",1
383,3,Release Date,1 March 2009 (USA),-1
384,10,Duration,m115 min,1
385,4,Director,Kevin Swigert,-1
386,4,Director,oRichard Gray,1
387,2,Year,1994,-1
388,2,Year,2014c,1
389,16,Description,"The unofficial story of a killer who kidnaps and kills three girls is told through the tale of his last victim, 'Amateur Porn Star Killer' is about a girl he picks up on the street and ...",-1
390,4,Director,aamAhdlKm e,1
391,3,Release Date,22 March 1996 (USA),-1
392,13,ReviewCount,"J4 user,1 critic",1
393,2,Year,2015,-1
394,3,Release Date,,1
395,0,Id,tt0102598,-1
396,5,Creator,RChris Columbus,1
397,2,Year,1986,-1
398,14,Genre,ComedyJ,1
399,13,ReviewCount,"115 user,52 critic",-1
400,8,Language,jEnglish,1
401,8,Language,English,-1
402,11,RatingValue,,1
403,12,RatingCount,"20,663",-1
404,10,Duration,0 i9mn,1
405,15,Filming Locations,"Syracuse, New York, USA",-1
406,10,Duration,94 minC,1
407,5,Creator,"Seth Rogen,Evan Goldberg",-1
408,12,RatingCount,"Y352,890",1
409,10,Duration,104 min,-1
410,16,Description,"ei,oeam rrtogsgf.ooooyo r a hunck fo sbwthrefbatrsorg  r  lTc tfruoc o epo  - abdsvorgdmeahsucsecarryeatridinu eggeiesrehe o ipahit  ree tec an",1
411,9,Country,USA,-1
412,2,Year,,1
413,12,RatingCount,"63,886",-1
414,14,Genre,,1
415,7,Cast,"Jim Carrey,Maura Tierney,Justin Cooper,Cary Elwes,Anne Haney,Jennifer Tilly,Amanda Donohoe,Jason Bernard,Swoosie Kurtz,Mitchell Ryan,Christopher Mayer,Eric Pierpoint,Randall 'Tex' Cobb,Cheri Oteri,SW Fisher",-1
416,1,Name,MMan on the Moon,1
417,3,Release Date,4 October 2002 (USA),-1
418,5,Creator,"eeloaao l,mrMbEAei Cdlndp",1
419,14,Genre,Comedy,-1
420,1,Name,rRmhu T eiDya,1
421,10,Duration,96 min,-1
422,7,Cast,"tJemeryndnkugtr,n A,eh  r, krnil tClcmktlKimBMh,ninaasnVuKt,MaraaiieünaR DDSaImas,trqraPiFsdc mc fRweeo øamharRe KoBd,eeeonoennlømeEl,ni,euroa ePsiaihshnrajir,snrGTichgsJB  o lfA,,ereSob eesndhnnrrJka B ao,t,oSrtneaiT",1
423,11,RatingValue,5.9,-1
424,0,Id,tt0409847a,1
425,3,Release Date,22 July 2005 (USA),-1
426,10,Duration,n62i1 m,1
427,4,Director,Nick Cassavetes,-1
428,12,RatingCount,,1
429,13,ReviewCount,"609 user,408 critic",-1
430,6,Actors,"Will Smith,Tommy Lee Jones,Josh Brolink",1
431,5,Creator,"Raymond F. Jones,Franklin Coen",-1
432,7,Cast," anlrPnndgn,a  na,PtJeoluryeBfh,h,aotl JanrouJooHe ApenoCnHrneTootr iraeryHa,gdRgdT L,,ittrhoaEib n",1
433,6,Actors,"Richard Egan,Constance Dowling,Herbert Marshall",-1
434,8,Language,EnglishL,1
435,16,Description,"A young man turns to a witch doctor to lure the woman he loves away from her fiance, but instead turns her into a zombie slave.",-1
436,4,Director,nTerry Hughes,1
437,7,Cast,"Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Glenn Plummer,Robert Davi,Alan Rachins,Gina Ravera,Lin Tucci,Greg Travis,Al Ruscio,Patrick Bristow,William Shockley,Michelle Johnston,Dewey Weber,Rena Riffel",-1
438,7,Cast,"iShepard Fairey,Billy Idol,Dave Navarro,Joseph G. Quinn,Rick Rubin,Chris Hogan,Tosca Rivola,Sophie Radvan,Spade Schumacher",1
439,1,Name,Black Horse Canyon,-1
440,11,RatingValue,,1
441,5,Creator,"Jack Jevne,Charley Rogers",-1
442,13,ReviewCount,,1
443,11,RatingValue,6.9,-1
444,6,Actors,"Oen  ,alhDeTNwata'NitbwiLreeeneabOtcrec Cnnile, e",1
445,2,Year,1929,-1
446,9,Country,,1
447,0,Id,tt0024069,-1
448,10,Duration,101 minP,1
449,11,RatingValue,6.3,-1
450,8,Language,"phanlnsEishgS,i",1
451,11,RatingValue,6.1,-1
452,6,Actors,,1
453,9,Country,USA,-1
454,3,Release Date,25 May 1967 (USA)y,1
455,3,Release Date,16 May 1968 (USA),-1
456,11,RatingValue,,1
457,9,Country,USA,-1
458,4,Director,Alexander HallW,1
459,12,RatingCount,380,-1
460,9,Country,,1
461,4,Director,Spike Lee,-1
462,6,Actors,"RelGrgsom S,eheJ,oegohtiers rCTpieytplenn ",1
463,2,Year,1973,-1
464,16,Description,,1
465,14,Genre,Drama,-1
466,14,Genre,,1
467,8,Language,English,-1
468,16,Description,"A group of survivors try to avoid the battles of World War III, when they try to escape to the quiet lands, they encounter something much more deadly.C",1
469,9,Country,USA,-1
470,4,Director,hsC adarlnBe,1
471,11,RatingValue,4.4,-1
472,9,Country,USAr,1
473,9,Country,USA,-1
474,14,Genre,,1
475,1,Name,Sorority House Massacre,-1
476,6,Actors,,1
477,11,RatingValue,7.2,-1
478,11,RatingValue,34.,1
479,2,Year,2013,-1
480,10,Duration,,1
481,9,Country,"China,USA,Canada",-1
482,16,Description,"A waitress hitchhiking in Nevada is picked up by a man on a motorcycle. Unbeknownst to her, the man is a psycho killer who thinks he's God.G",1
483,9,Country,USA,-1
484,2,Year,1995o,1
485,16,Description,"A puppeteer discovers a portal that leads literally into the head of the movie star, John Malkovich.",-1
486,9,Country,AUS,1
487,14,Genre,Thriller,-1
488,3,Release Date,e  u3yr0A2F ra2)UbS(1,1
489,10,Duration,113 min,-1
490,5,Creator,,1
491,3,Release Date,29 July 2015 (USA),-1
492,15,Filming Locations,,1
493,2,Year,2015,-1
494,0,Id,tt3397754u,1
495,6,Actors,"Patrick Wilson,Lena Headey,Ray Winstone",-1
496,5,Creator,"fTrue Boardman,Alexander Hull",1
497,4,Director,Chad Burns,-1
498,13,ReviewCount,"7 user,1 criticA",1
499,15,Filming Locations,"Utah, USA",-1
500,10,Duration,,1
501,4,Director,"Fax Bahr,George Hickenlooper",-1
502,6,Actors,"Neve Campbell,Courteney Cox,David ArquetteJ",1
503,1,Name,North by Northwest,-1
504,11,RatingValue,.60,1
505,12,RatingCount,"1,185",-1
506,13,ReviewCount,"cce1i r t1r1,ius",1
507,3,Release Date,19 November 2004 (USA),-1
508,10,Duration,120 minL,1
509,1,Name,A Clockwork Orange,-1
510,0,Id,09018tt28,1
511,16,Description,Three journalists in a romantic triangle are involved in political intrigue during the last days of the corrupt Somozoa regime in Nicaragua before it falls to a popular revolution in 1979.,-1
512,2,Year,,1
513,5,Creator,"Deric Washburn,Walon Green",-1
514,7,Cast,,1
515,4,Director,Brian De Palma,-1
516,16,Description,"Farmer Vincent kidnaps unsuspecting travellers and is burying them in his garden. Unfortunately for his victims, they are not dead. He feeds his victims to prepare them for his roadside ...J",1
